iter	Passed	Remaining
0	138	138117
1	140	70091
2	142	47214
3	144	35912
4	146	29111
5	148	24585
6	150	21324
7	152	18897
8	154	16987
9	155	15440
10	157	14167
11	160	13173
12	162	12321
13	164	11561
14	166	10910
15	167	10312
16	169	9827
17	171	9358
18	173	8946
19	175	8609
20	177	8265
21	179	7981
22	181	7709
23	183	7449
24	184	7205
25	186	6984
26	188	6796
27	190	6608
28	192	6432
29	194	6278
30	195	6119
31	197	5968
32	199	5837
33	201	5722
34	203	5600
35	205	5493
36	207	5393
37	208	5286
38	210	5192
39	212	5106
40	214	5015
41	215	4926
42	217	4845
43	219	4761
44	220	4680
45	222	4605
46	223	4534
47	225	4469
48	227	4406
49	228	4344
50	230	4284
51	231	4225
52	233	4167
53	234	4114
54	236	4060
55	238	4012
56	239	3966
57	241	3918
58	242	3870
59	244	3823
60	245	3779
61	247	3739
62	248	3696
63	250	3657
64	251	3623
65	253	3584
66	254	3546
67	255	3502
68	257	3469
69	258	3436
70	260	3402
71	261	3369
72	263	3343
73	264	3313
74	266	3284
75	267	3256
76	269	3227
77	270	3198
78	272	3172
79	273	3147
80	275	3122
81	277	3103
82	278	3080
83	280	3055
84	281	3026
85	282	3003
86	283	2976
87	285	2954
88	286	2931
89	288	2913
90	289	2893
91	291	2877
92	292	2857
93	294	2837
94	295	2818
95	297	2798
96	298	2779
97	300	2761
98	301	2747
99	303	2732
100	305	2716
101	306	2695
102	307	2680
103	309	2663
104	310	2648
105	312	2632
106	313	2616
107	315	2603
108	316	2590
109	318	2575
110	319	2561
111	321	2547
112	322	2532
113	324	2518
114	325	2505
115	327	2492
116	328	2482
117	330	2471
118	332	2458
119	333	2446
120	335	2434
121	336	2424
122	337	2408
123	339	2397
124	341	2389
125	342	2379
126	344	2367
127	345	2352
128	346	2341
129	348	2329
130	349	2320
131	351	2309
132	352	2300
133	355	2295
134	356	2285
135	358	2274
136	359	2264
137	360	2253
138	362	2244
139	363	2234
140	365	2224
141	367	2217
142	368	2208
143	369	2199
144	371	2190
145	372	2181
146	374	2172
147	375	2162
148	377	2155
149	378	2147
150	380	2140
151	382	2132
152	383	2124
153	385	2115
154	386	2106
155	388	2099
156	389	2091
157	390	2083
158	392	2075
159	394	2071
160	395	2063
161	397	2055
162	399	2049
163	400	2041
164	401	2033
165	403	2026
166	404	2019
167	406	2012
168	408	2006
169	409	2000
170	411	1992
171	412	1985
172	414	1979
173	415	1971
174	416	1964
175	418	1958
176	420	1953
177	421	1947
178	423	1940
179	424	1933
180	425	1924
181	426	1918
182	428	1911
183	429	1905
184	431	1901
185	433	1895
186	434	1891
187	436	1886
188	438	1880
189	439	1873
190	440	1867
191	442	1862
192	444	1858
193	446	1854
194	447	1848
195	449	1842
196	450	1837
197	452	1832
198	453	1826
199	455	1820
200	457	1816
201	458	1813
202	460	1809
203	462	1805
204	464	1800
205	466	1796
206	467	1791
207	469	1786
208	470	1781
209	472	1776
210	473	1771
211	475	1766
212	477	1762
213	478	1758
214	480	1754
215	481	1748
216	483	1746
217	485	1741
218	487	1738
219	488	1732
220	490	1727
221	491	1722
222	492	1717
223	494	1712
224	495	1707
225	497	1703
226	499	1699
227	500	1695
228	502	1691
229	503	1686
230	505	1682
231	506	1677
232	508	1672
233	509	1668
234	511	1665
235	513	1661
236	514	1657
237	516	1652
238	517	1647
239	518	1643
240	520	1638
241	521	1634
242	523	1632
243	525	1628
244	527	1625
245	528	1620
246	530	1616
247	531	1611
248	533	1607
249	534	1603
250	535	1599
251	537	1596
252	539	1592
253	541	1588
254	542	1585
255	544	1581
256	545	1578
257	547	1574
258	549	1571
259	551	1569
260	553	1565
261	554	1562
262	556	1558
263	557	1554
264	559	1551
265	561	1548
266	562	1545
267	564	1542
268	566	1539
269	567	1535
270	569	1533
271	571	1530
272	573	1526
273	575	1523
274	577	1522
275	579	1520
276	581	1516
277	582	1513
278	584	1509
279	585	1505
280	587	1502
281	589	1500
282	590	1497
283	592	1493
284	593	1490
285	595	1486
286	596	1482
287	598	1479
288	600	1476
289	602	1474
290	604	1471
291	605	1468
292	607	1465
293	609	1463
294	611	1460
295	613	1458
296	615	1456
297	617	1453
298	618	1450
299	620	1446
300	621	1444
301	623	1440
302	624	1437
303	626	1434
304	628	1432
305	630	1429
306	631	1425
307	633	1422
308	634	1419
309	636	1415
310	637	1412
311	639	1410
312	641	1408
313	643	1404
314	644	1401
315	646	1398
316	647	1395
317	649	1391
318	650	1389
319	652	1386
320	654	1383
321	655	1380
322	657	1377
323	658	1373
324	659	1370
325	661	1368
326	663	1365
327	665	1362
328	666	1360
329	669	1358
330	670	1355
331	672	1352
332	673	1349
333	674	1345
334	676	1342
335	677	1339
336	679	1337
337	681	1335
338	683	1332
339	684	1329
340	686	1326
341	687	1322
342	689	1319
343	690	1316
344	692	1314
345	693	1311
346	695	1308
347	696	1305
348	698	1302
349	699	1298
350	700	1295
351	702	1292
352	703	1289
353	705	1287
354	707	1285
355	708	1281
356	709	1278
357	711	1275
358	713	1273
359	714	1270
360	715	1267
361	721	1271
362	722	1268
363	724	1265
364	725	1262
365	727	1259
366	728	1256
367	730	1253
368	731	1251
369	733	1248
370	734	1246
371	736	1242
372	737	1240
373	739	1237
374	740	1234
375	741	1231
376	743	1228
377	745	1226
378	747	1224
379	748	1221
380	750	1218
381	751	1215
382	752	1212
383	754	1210
384	755	1207
385	757	1204
386	758	1201
387	760	1199
388	768	1207
389	770	1205
390	773	1204
391	774	1202
392	776	1199
393	778	1197
394	782	1198
395	784	1196
396	787	1195
397	791	1197
398	794	1196
399	796	1195
400	798	1193
401	801	1192
402	804	1191
403	807	1190
404	809	1188
405	813	1190
406	815	1188
407	816	1185
408	818	1182
409	820	1180
410	821	1177
411	823	1174
412	824	1172
413	826	1169
414	827	1167
415	829	1164
416	831	1162
417	833	1161
418	835	1159
419	838	1157
420	840	1155
421	841	1153
422	843	1150
423	845	1148
424	847	1146
425	848	1143
426	850	1141
427	853	1140
428	855	1138
429	856	1135
430	858	1132
431	859	1130
432	861	1127
433	862	1125
434	864	1123
435	866	1121
436	868	1118
437	870	1116
438	871	1113
439	873	1111
440	875	1109
441	876	1106
442	878	1104
443	880	1103
444	882	1100
445	884	1099
446	886	1096
447	888	1094
448	890	1092
449	892	1090
450	893	1087
451	895	1085
452	897	1083
453	898	1081
454	900	1078
455	903	1078
456	905	1076
457	907	1073
458	909	1071
459	910	1069
460	912	1066
461	914	1064
462	915	1062
463	917	1060
464	919	1057
465	920	1055
466	922	1052
467	924	1050
468	925	1048
469	927	1045
470	928	1043
471	931	1041
472	932	1039
473	934	1036
474	936	1034
475	937	1032
476	939	1029
477	940	1027
478	942	1025
479	944	1022
480	945	1020
481	946	1017
482	948	1014
483	949	1012
484	950	1009
485	952	1007
486	953	1004
487	955	1002
488	957	1000
489	958	997
490	960	995
491	961	992
492	962	990
493	964	987
494	965	985
495	967	982
496	968	980
497	970	978
498	971	975
499	973	973
500	975	971
501	976	968
502	978	966
503	979	964
504	981	962
505	983	959
506	984	957
507	985	954
508	987	952
509	988	950
510	990	947
511	991	945
512	993	942
